,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
48,"Benedicta es, coelorum regina","(-2, -2, 2, 2)","(-2, -2, 2, 2)",Fuga,[Discantus],[QuintaVox],[Contratenor],[Tenor],-,-,-,-,-,-,-,-,51/3.0,56/1.5,57/3.0,58/3.0,-,-,-,-,-,-,-,-,404.0,441.0,452.0,460.0,-,-,-,-,-,-,-,-,16.0,10.0,16.0,16.0,-,-,-,-,-,-,-,-
49,"Benedicta es, coelorum regina","(-2, 1, -2, 1)","(-2, 1, -2, 2)",Fuga,[QuintaVox],[Discantus],-,-,-,-,-,-,-,-,-,-,51/4.0,53/4.0,-,-,-,-,-,-,-,-,-,-,406.0,422.0,-,-,-,-,-,-,-,-,-,-,13.0,18.0,-,-,-,-,-,-,-,-,-,-
50,"Benedicta es, coelorum regina","(-2, 2, 2, 2)","(-2, 2, 2, 2)",Fuga,[Discantus],[QuintaVox],[Contratenor],[Tenor],-,-,-,-,-,-,-,-,52/1.0,56/2.0,58/1.0,59/1.0,-,-,-,-,-,-,-,-,408.0,442.0,456.0,464.0,-,-,-,-,-,-,-,-,13.0,10.0,13.0,13.0,-,-,-,-,-,-,-,-
51,"Benedicta es, coelorum regina","(2, 2, 2, 2)","(2, 2, 2, 2)",Fuga,[Discantus],[QuintaVox],[QuintaVox],[Contratenor],[Tenor],-,-,-,-,-,-,-,52/3.0,56/2.5,56/3.0,58/3.0,59/3.0,-,-,-,-,-,-,-,412.0,443.0,444.0,460.0,468.0,-,-,-,-,-,-,-,10.0,10.0,10.0,10.0,10.0,-,-,-,-,-,-,-
52,"Benedicta es, coelorum regina","(2, -3, 1, 1)","(2, -3, 1, 1)",Fuga,[Contratenor],[Tenor],-,-,-,-,-,-,-,-,-,-,55/3.0,56/1.0,-,-,-,-,-,-,-,-,-,-,436.0,440.0,-,-,-,-,-,-,-,-,-,-,20.0,24.0,-,-,-,-,-,-,-,-,-,-
53,"Benedicta es, coelorum regina","(-3, 1, 1, -2)","(-3, 1, 1, -2)",Fuga,[Contratenor],[Tenor],-,-,-,-,-,-,-,-,-,-,56/1.0,57/1.0,-,-,-,-,-,-,-,-,-,-,440.0,448.0,-,-,-,-,-,-,-,-,-,-,20.0,20.0,-,-,-,-,-,-,-,-,-,-
54,"Benedicta es, coelorum regina","(1, 1, -2, -2)","(1, 1, -2, -2)",Fuga,[Contratenor],[Tenor],-,-,-,-,-,-,-,-,-,-,56/4.0,57/4.0,-,-,-,-,-,-,-,-,-,-,446.0,454.0,-,-,-,-,-,-,-,-,-,-,18.0,18.0,-,-,-,-,-,-,-,-,-,-
55,"Benedicta es, coelorum regina","(1, -2, -2, 3)","(1, -2, -2, 2)",Fuga,[Contratenor],[Tenor],-,-,-,-,-,-,-,-,-,-,57/1.0,58/1.0,-,-,-,-,-,-,-,-,-,-,448.0,456.0,-,-,-,-,-,-,-,-,-,-,19.0,19.0,-,-,-,-,-,-,-,-,-,-
56,"Benedicta es, coelorum regina","(3, -2, -3, 2)","(2, -2, -3, 2)",Fuga,[Bassus],[Contratenor],[SextaVox],-,-,-,-,-,-,-,-,-,59/2.0,62/3.0,65/3.0,-,-,-,-,-,-,-,-,-,466.0,492.0,516.0,-,-,-,-,-,-,-,-,-,14.0,16.0,16.0,-,-,-,-,-,-,-,-,-
57,"Benedicta es, coelorum regina","(2, -2, -2, 1)","(2, -2, -2, 1)",Fuga,[Contratenor],[Tenor],-,-,-,-,-,-,-,-,-,-,59/3.0,60/3.0,-,-,-,-,-,-,-,-,-,-,468.0,476.0,-,-,-,-,-,-,-,-,-,-,10.0,10.0,-,-,-,-,-,-,-,-,-,-
